time,open,high,low,close
2016-02-23T01:00:00+01:00,438.26,440,414,419.1
2016-02-24T01:00:00+01:00,419.1,424.28,409.07,423.78
2016-02-25T01:00:00+01:00,423.79,426.75,415.79,423.51
2016-02-26T01:00:00+01:00,423.38,432,418.01,432
2016-02-27T01:00:00+01:00,432,435,428.22,431.07
2016-02-28T01:00:00+01:00,431.07,435,422.29,431.68
2016-02-29T01:00:00+01:00,430.26,440.99,428.12,435.23
2016-03-01T01:00:00+01:00,436.75,437.5,427.01,432.5
2016-03-02T01:00:00+01:00,433.33,434.5,421.31,423.45
2016-03-03T01:00:00+01:00,422.4,424.47,415.85,420.29
2016-03-04T01:00:00+01:00,420.29,423.9,406.02,408.01
2016-03-05T01:00:00+01:00,408.18,408.98,382,399.83
2016-03-06T01:00:00+01:00,399.77,412.31,393.11,406.23
2016-03-07T01:00:00+01:00,406.15,414.96,403.03,414.01
2016-03-08T01:00:00+01:00,413.96,414.99,408.46,411.75
2016-03-09T01:00:00+01:00,412.14,413.51,408.75,413
2016-03-10T01:00:00+01:00,412.99,416.9,409.31,416
2016-03-11T01:00:00+01:00,416,421.91,415.11,419.13
2016-03-12T01:00:00+01:00,419.14,420.93,406.59,410.9
2016-03-13T01:00:00+01:00,409.95,417,409.67,413.04
2016-03-14T01:00:00+01:00,412.99,415.22,410.5,414.99
2016-03-15T01:00:00+01:00,414.83,417.43,412.15,415.85
2016-03-16T01:00:00+01:00,415.84,416.82,413.15,416.57
2016-03-17T01:00:00+01:00,416.52,419,415.66,418.49
2016-03-18T01:00:00+01:00,418.47,418.49,403.34,407.91
2016-03-19T01:00:00+01:00,407.5,409.95,404.1,409.04
2016-03-20T01:00:00+01:00,408.36,412,406.6,411.28
2016-03-21T01:00:00+01:00,410.62,411.96,406.5,411.67
2016-03-22T01:00:00+01:00,411.15,416.99,410.35,416.64
2016-03-23T01:00:00+01:00,416.39,419,413.44,417.62
2016-03-24T01:00:00+01:00,417.62,418.15,412.85,415.17
2016-03-25T01:00:00+01:00,415.17,416.92,412,415.7
2016-03-26T01:00:00+01:00,415.6,416.99,414,416.96
2016-03-27T01:00:00+01:00,416.96,416.99,416.06,416.64
2016-03-28T02:00:00+02:00,424.62,424.77,420.32,422.87
2016-03-29T02:00:00+02:00,422.87,424.37,407.22,415.95
2016-03-30T02:00:00+02:00,415.43,415.93,408.59,413.74
2016-03-31T02:00:00+02:00,413.68,416.99,411.4,414.66
2016-04-01T02:00:00+02:00,414.66,416.99,413.42,416.31
2016-04-02T02:00:00+02:00,416.31,420,416.01,419
2016-04-03T02:00:00+02:00,419.35,419.48,416.1,419.11
2016-04-04T02:00:00+02:00,418.51,419.85,416,418.75
2016-04-05T02:00:00+02:00,418.81,423,416.61,422.71
2016-04-06T02:00:00+02:00,422.71,422.9,420,421.03
2016-04-07T02:00:00+02:00,420.62,421.99,418.09,420
2016-04-08T02:00:00+02:00,419.99,423.99,416.26,417.75
2016-04-09T02:00:00+02:00,417.75,418.71,412,418.24
2016-04-10T02:00:00+02:00,418.59,418.72,417.98,418.36
2016-04-11T02:00:00+02:00,420.4,422.8,418,422.69
2016-04-12T02:00:00+02:00,422.79,426.67,421,425.54
2016-04-13T02:00:00+02:00,425.32,426,422.27,423.93
2016-04-14T02:00:00+02:00,424.5,425.35,423.02,424.86
2016-04-15T02:00:00+02:00,424.4,430,423.07,429.45
2016-04-16T02:00:00+02:00,429.29,432.87,381.47,430.69
2016-04-17T02:00:00+02:00,430.18,430.91,377.87,427.42
2016-04-18T02:00:00+02:00,427.15,430.01,425.8,428.14
2016-04-19T02:00:00+02:00,428.14,436.82,378.98,435.63
2016-04-20T02:00:00+02:00,435.7,444,433.11,442.13
2016-04-21T02:00:00+02:00,441.99,452.11,440,451
