time,open,high,low,close,RSI,RSI-based MA,Upper Bollinger Band,Lower Bollinger Band
1998-04-01T02:00:00+02:00,1.231,1.231,1.231,1.231,25.37666221,35.49064066,NaN,NaN
1998-05-01T02:00:00+02:00,1.256,1.256,1.256,1.256,27.19297039,34.23954123,NaN,NaN
1998-06-01T02:00:00+02:00,0.98,0.98,0.98,0.98,21.08995704,32.30589156,NaN,NaN
1998-07-01T02:00:00+02:00,1.197,1.197,1.197,1.197,33.6907316,31.6305862,NaN,NaN
1998-08-01T02:00:00+02:00,1.434,1.434,1.434,1.434,44.17558654,31.40625712,NaN,NaN
1998-09-01T02:00:00+02:00,1.206,1.206,1.206,1.206,37.95749738,31.13970326,NaN,NaN
1998-10-01T02:00:00+02:00,1.25,1.25,1.25,1.25,39.72087006,31.34688531,NaN,NaN
1998-11-01T01:00:00+01:00,1.238,1.238,1.238,1.238,39.39203624,31.76108702,NaN,NaN
1998-12-01T01:00:00+01:00,1.353,1.353,1.353,1.353,44.16274666,32.70134664,NaN,NaN
1999-01-01T01:00:00+01:00,1.343,1.343,1.343,1.343,43.83959474,33.81908439,NaN,NaN
1999-02-01T01:00:00+01:00,1.222,1.222,1.222,1.222,40.02336659,34.57357162,NaN,NaN
1999-03-01T01:00:00+01:00,1.145,1.145,1.145,1.145,37.77013233,34.93592953,NaN,NaN
1999-04-01T02:00:00+02:00,1.219,1.219,1.219,1.219,41.1964077,35.80361158,NaN,NaN
1999-05-01T02:00:00+02:00,1.218,1.218,1.218,1.218,41.16342488,36.91085602,NaN,NaN
1999-06-01T02:00:00+02:00,1.397,1.397,1.397,1.397,49.02992402,38.60037473,NaN,NaN
1999-07-01T02:00:00+02:00,1.295,1.295,1.295,1.295,45.31216882,39.89460319,NaN,NaN
1999-08-01T02:00:00+02:00,1.146,1.146,1.146,1.146,40.4830929,41.27982717,NaN,NaN
1999-09-01T02:00:00+02:00,1.432,1.432,1.432,1.432,51.22762558,42.53246246,NaN,NaN
1999-10-01T02:00:00+02:00,1.407,1.407,1.407,1.407,50.37159062,42.97503418,NaN,NaN
1999-11-01T01:00:00+01:00,1.486,1.486,1.486,1.486,53.0419464,44.05249482,NaN,NaN
1999-12-01T01:00:00+01:00,1.44,1.44,1.44,1.44,51.31068746,44.88033892,NaN,NaN
2000-01-01T01:00:00+01:00,1.537,1.537,1.537,1.537,54.67055074,45.97166139,NaN,NaN
2000-02-01T01:00:00+01:00,1.723,1.723,1.723,1.723,60.32432176,47.12605961,NaN,NaN
2000-03-01T01:00:00+01:00,1.9,1.9,1.9,1.9,64.8209491,48.62472778,NaN,NaN
2000-04-01T02:00:00+02:00,1.707,1.707,1.707,1.707,57.20745693,49.8521628,NaN,NaN
2000-05-01T02:00:00+02:00,1.718,1.718,1.718,1.718,57.51374987,51.2624212,NaN,NaN
2000-06-01T02:00:00+02:00,1.742,1.742,1.742,1.742,58.21646181,52.47813935,NaN,NaN
2000-07-01T02:00:00+02:00,1.791,1.791,1.791,1.791,59.68265235,53.80094131,NaN,NaN
2000-08-01T02:00:00+02:00,1.872,1.872,1.872,1.872,62.05312442,54.73116991,NaN,NaN
2000-09-01T02:00:00+02:00,1.849,1.849,1.849,1.849,60.95716332,55.84866952,NaN,NaN
2000-10-01T02:00:00+02:00,1.819,1.819,1.819,1.819,59.48148602,57.2056976,NaN,NaN
2000-11-01T01:00:00+01:00,1.901,1.901,1.901,1.901,62.17675849,57.98777852,NaN,NaN
2000-12-01T01:00:00+01:00,1.871,1.871,1.871,1.871,60.58881975,58.7175806,NaN,NaN
2001-01-01T01:00:00+01:00,2.007,2.007,2.007,2.007,64.95797252,59.56872532,NaN,NaN
2001-02-01T01:00:00+01:00,2.035,2.035,2.035,2.035,65.79864137,60.60357918,NaN,NaN
2001-03-01T01:00:00+01:00,1.932,1.932,1.932,1.932,60.08797037,60.99053772,NaN,NaN
2001-04-01T02:00:00+02:00,2.027,2.027,2.027,2.027,63.25558685,61.1999138,NaN,NaN
2001-05-01T02:00:00+02:00,1.941,1.941,1.941,1.941,58.71281222,60.76361831,NaN,NaN
2001-06-01T02:00:00+02:00,2.093,2.093,2.093,2.093,63.67786119,61.22579004,NaN,NaN
