time,open,high,low,close
2012-10-10T15:30:00+02:00,88.53,95.36,88.53,94.36
2012-10-11T15:30:00+02:00,94.36,94.36,90.11,90.74001
2012-10-12T15:30:00+02:00,90.74001,92,87.27,91.87
2012-10-15T15:30:00+02:00,91.87,95.72,90.33,92.92
2012-10-16T15:30:00+02:00,92.92,92.92,89.2,90.31
2012-10-17T15:30:00+02:00,90.31,92.11,84.95,85.60001
2012-10-18T15:30:00+02:00,85.60001,88.24001,84.75999,86.50999
2012-10-19T15:30:00+02:00,86.50999,94.25,86.28,92.63
2012-10-22T15:30:00+02:00,92.63,98.06,91.99001,92.48
2012-10-23T15:30:00+02:00,92.48,102.67,92.48,99.66
2012-10-24T15:30:00+02:00,99.66,99.66,95.44,96.39
2012-10-25T15:30:00+02:00,96.39,96.39,91.66,91.86
2012-10-26T15:30:00+02:00,91.86,92.39999,88.91,89.42999
2012-10-31T14:30:00+01:00,89.42999,90.58,87.57001,90.23
2012-11-01T14:30:00+01:00,90.23,90.23,81.7,81.7
2012-11-02T14:30:00+01:00,81.7,87.84,80.10001,87.84
2012-11-05T15:30:00+01:00,87.84,91.88,87.84,90.75
2012-11-06T15:30:00+01:00,90.75,90.75,86.59,87.56
2012-11-07T15:30:00+01:00,87.56,95.53,87.56,94.75
2012-11-08T15:30:00+01:00,94.75,94.75,91.49001,93.39
2012-11-09T15:30:00+01:00,93.39,94.13,90.98,94.02
2012-11-12T15:30:00+01:00,94.02,94.67,90.13,90.53999
2012-11-13T15:30:00+01:00,90.53999,92.5,87.13,87.84
2012-11-14T15:30:00+01:00,87.84,96.14,87.28999,94.66
2012-11-15T15:30:00+01:00,94.66,97.66,92.42999,94.53999
2012-11-16T15:30:00+01:00,94.53999,97.03999,90.00999,90.27
2012-11-19T15:30:00+01:00,90.27,90.27,86.03999,88.42999
2012-11-20T15:30:00+01:00,88.42999,89.7,85.58,85.92999
2012-11-21T15:30:00+01:00,85.92999,87.49001,83.66,85.85001
2012-11-23T15:30:00+01:00,85.85001,85.85001,81.67999,82.86
2012-11-26T15:30:00+01:00,82.86,84.55,81.89999,82.45
2012-11-27T15:30:00+01:00,82.45,84.94,81.06,84.17
2012-11-28T15:30:00+01:00,84.17,86.73,80.34,80.39
